rank,school,grades,district,students,free_lunch_rec,total_exp,score,year
84,Central Middle School,6-8,Long Hill Township School District,261,3.8%,"$9,645",84.1,2020
85,Pearl R. Miller Middle School,6-8,Kinnelon School District,427,4.7%,"$16,526",84.1,2020
86,Central Middle School,6-8,Parsippany-Troy Hills Township School District,833,16.6%,"$11,269",84,2020
87,Sara M. Gilmore Academy,1-8,Union City School District,383,46.2%,"$11,311",83.9,2020
88,Terence C. Reilly School No 7,2-8,Elizabeth Public Schools,"1,112",62.6%,"$7,777",83.9,2020
89,Branchburg Central Middle School,6-8,Branchburg Township School District,486,4.5%,"$17,027",83.6,2020
90,Pequannock Valley School,6-8,Pequannock Township School District,475,4.2%,"$16,625",83.6,2020
91,Monroe Township Middle School,6-8,Monroe Township School District,"1,781",6.6%,"$13,214",83.5,2020
92,Logan Middle School,5-8,Logan Township School District,261,14.9%,"$12,685",83.1,2020
93,Hammarskjold Middle School,6-7,East Brunswick Township School District,"1,297",18.4%,"$13,382",82.7,2020
94,Long Valley Middle School,6-8,Washington Township School District,720,2.4%,"$11,408",82.7,2020
95,Maywood Avenue School,4-8,Maywood School District,556,10.3%,"$12,176",82.4,2020
96,Unity Charter School,K-8,Unity Charter School,245,11.4%,"$10,094",82.2,2020
97,East Hanover Middle School,6-8,East Hanover Township School District,279,1.1%,"$15,443",82.2,2020
98,Spring Lake Heights Elementary School,"PK, KG-8",Spring Lake Heights School District,338,6.5%,"$13,667",81.6,2020
99,Holdrum Middle School,6-8,River Vale Public School District,413,0.7%,"$15,988",81.4,2020
100,Bay Head Elementary,K-8,Bay Head Borough School District,127,2.4%,"$17,883",81.2,2020
1,Thomas Edison EnergySmart Charter School,K-12,Thomas Edison EnergySmart Charter School,591,12.7%,"$7,387",98.8,2020
2,School 28,"PK, KG-8",Paterson Public School District,466,58.2%,"$9,579",98.7,2020
3,Hatikvah International Academy Charter School,K-8,Hatikvah International Academy Charter School,546,4.9%,"$8,359",98.6,2020
4,Infinity Institute,6-12,Jersey City Public Schools,479,59.3%,"$9,826",98.6,2020
5,Forrestdale School,4-8,Rumson Borough School District,578,0.5%,"$10,265",98.3,2020
6,Upper School,3-8,Englewood Cliffs School District,292,1.0%,"$12,826",98,2020
7,Roosevelt Intermediate School,6-8,Westfield Public School District,684,0.4%,"$7,490",97.9,2020
8,Harrington Park School,"PK, KG-8",Harrington Park School District,558,0.5%,"$16,559",97.9,2020
9,Millburn Middle School,6-8,Millburn Township School District,"1,197",0.8%,"$14,838",97.9,2020
10,H W Mountz Elementary School,"PK, KG-8",Spring Lake Borough,169,1.8%,"$25,190",97.4,2020
11,Mendham Township Middle School,5-8,Mendham Township School District,313,1.0%,"$18,518",97.2,2020
12,Princeton Charter School,K-8,Princeton Charter School,426,4.9%,,96.8,2020
13,Sea Girt Elementary School,"PK, KG-8",Sea Girt Borough School District,150,2.0%,"$19,511",96.7,2020
14,Glen Rock Middle School,6-8,Glen Rock Public School District,627,0.6%,"$15,503",96.5,2020
15,Columbia Middle School,6-8,Berkeley Heights School District,544,1.3%,"$10,202",96.3,2020
16,Emil A. Cavallini Middle School,6-8,Upper Saddle River School District,429,0.7%,"$15,979",96.3,2020
17,Tenafly Middle School,6-8,Tenafly Public School District,889,1.7%,"$10,776",96,2020
18,Cresskill Middle School,6-8,Cresskill Public School District,496,0.8%,"$9,670",95.5,2020
19,Princeton Middle School,6-8,Princeton Public School District,803,13.9%,"$11,879",95.4,2020
20,Monmouth Beach Elementary School,"PK, KG-8",Monmouth Beach School District,257,1.2%,"$15,153",95.1,2020
21,Demarest Middle School,5-8,Demarest School District,313,1.0%,"$12,207",94.8,2020
22,Knollwood School,4-8,Fair Haven School District,555,0.9%,"$10,199",94.8,2020
23,Haworth Public School,K-8,Haworth Public School District,392,0.8%,"$17,223",94.7,2020
24,Mountain View School,5-8,Mendham Borough School District,241,2.1%,"$12,123",94.7,2020
25,Johnstone Elementary School,5-8,Vineland Public School District,183,1.6%,"$17,537",94.2,2020
26,Clinton Township Middle School,6-8,Clinton Township School District,458,3.5%,"$4,447",93.7,2020
27,Alpine Elementary School,K-8,Alpine School District,151,2.0%,"$27,835",93.7,2020
28,Chatham Middle School,6-8,School District of the Chathams,984,1.3%,"$8,721",93.6,2020
29,Markham Place School,5-8,Little Silver Boro School District,383,0.8%,"$9,993",93.2,2020
30,Lawton C. Johnson Summit Middle School,6-8,Summit Public School District,942,12.7%,"$6,058",93.2,2020
31,Ho-Ho-Kus Public School,"PK, KG-8",Ho-Ho-Kus School District,587,0.5%,"$13,291",93.2,2020
32,Robert R Lazar Middle School,6-8,Montville Township School District,839,2.3%,"$14,639",92.8,2020
33,William Annin Middle School,6-8,Bernards Township School District,"1,201",1.4%,"$10,219",92.7,2020
34,Deerfield Elementary School,3-8,Mountainside School District,461,1.1%,"$8,613",92.7,2020
35,Academy I,6-8,Jersey City Public Schools,432,47.9%,"$10,195",92.7,2020
36,Woodcliff Middle School,6-8,Woodcliff Lake School District,238,2.1%,"$17,046",92.6,2020
37,Nicholas Oresko Community School,"PK, KG-8",Bayonne School District,444,36.9%,"$11,130",92.4,2020
38,Shrewsbury Borough Elementary School,"PK, KG-8",Shrewsbury Borough School District,441,1.4%,"$14,231",92.3,2020
39,Thomas Edison Intermediate School,6-8,Westfield Public School District,797,1.6%,"$7,471",92.1,2020
40,Hoboken Dual Language Charter School,K-8,Hoboken Dual Language Charter School,395,9.1%,"$9,496",92.1,2020
41,Black River Middle School,6-8,Chester Township School District,402,3.2%,"$11,856",91.5,2020
42,Community Middle School,6-8,West Windsor-Plainsboro Regional School District,"1,131",5.6%,"$12,257",91.5,2020
43,Brookside School,4-8,Allendale Public School District,506,0.8%,"$10,272",91.3,2020
44,Explore Middle School,6-8,Hudson County Schools of Technology School District,160,32.5%,"$10,449",91,2020
45,Renaissance Middle School at the Rand Building,6-8,Montclair Public School District,243,15.6%,"$18,417",90.7,2020
46,Ridgedale Middle School,6-8,Florham Park School District,313,1.0%,"$10,605",90.6,2020
47,Madison Junior School,6-8,Madison Public School District,589,7.5%,"$12,630",90.4,2020
48,Tenakill Middle School,5-8,Closter Public School District,539,0.6%,"$10,466",90.4,2020
49,Marlboro Memorial Middle School,6-8,Marlboro Township School District,800,8.0%,"$9,987",89.8,2020
50,Benjamin Franklin Middle School,6-8,Ridgewood Public School District,698,1.0%,"$11,177",89.6,2020
51,Woodrow Wilson Middle School,6-8,Edison Township School District,"1,208",6.5%,"$6,900",89.5,2020
52,Valleyview Middle School,6-8,Denville Township K-8 School District,553,2.9%,"$10,360",89,2020
53,Thomas R Grover Middle School,6-8,West Windsor-Plainsboro Regional School District,"1,208",3.7%,"$12,108",88.9,2020
54,Warren Middle School,6-8,Warren Township School District,544,0.6%,"$13,671",88.9,2020
55,Belhaven Middle School,5-8,Linwood City School District,378,11.1%,"$9,797",88.6,2020
56,Haddonfield Middle School,6-8,Haddonfield School District,625,2.2%,"$6,717",88.4,2020
57,Thomas Jefferson Middle School,5-8,Fair Lawn Public School District,"1,037",7.6%,"$8,430",88,2020
58,George Washington Middle School,6-8,Ridgewood Public School District,666,1.7%,"$11,167",87.9,2020
59,Fieldstone Middle School,5-8,Montvale Board of Education School District,452,0.7%,"$9,522",87.8,2020
60,John Adams Middle School,6-8,Edison Township School District,986,6.3%,"$6,899",87.8,2020
61,Edgar Middle School,5-8,Metuchen Public School District,743,6.3%,"$7,842",87.8,2020
62,Rosa International Middle School,6-8,Cherry Hill School District,785,14.0%,"$8,651",87.6,2020
63,Franklin Township School,"PK, KG-8",Franklin Township School District,253,3.6%,"$14,956",87.5,2020
64,Pond Road Middle School,5-8,Robbinsville Public Schools,"1,023",3.4%,"$4,739",87.1,2020
65,Avon Elementary School,"PK, KG-8",Avon Boro School District,133,8.3%,"$17,400",86.8,2020
66,Timberlane Middle School,6-8,Hopewell Valley Regional School District,820,3.5%,"$12,291",86.7,2020
67,East Amwell Township,"PK, KG-8",East Amwell Township School District,336,13.7%,"$16,880",86.7,2020
68,Central Jersey College Prep Charter School,K-12,Central Jersey College Prep Charter School,"1,219",20.3%,"$8,883",86.6,2020
69,William F. Halloran School No.22,2-8,Elizabeth Public Schools,"1,055",62.4%,"$6,924",86.6,2020
70,The Gray Charter School,K-8,Gray Charter School,364,68.1%,"$9,242",86,2020
71,Harding Township School,"PK, KG-8",Harding Township School District,267,1.5%,"$20,191",86,2020
72,Lewis F. Cole Middle School,5-8,Fort Lee School District,"1,303",17.1%,"$9,428",85.8,2020
73,Charles DeWolf Middle School,5-8,Old Tappan Public School District,311,1.0%,"$9,136",85.8,2020
74,Green Brook Middle School,5-8,Green Brook Township Public School District,370,7.3%,"$12,964",85.7,2020
75,Memorial Middle School,6-8,Point Pleasant Borough School District,657,9.6%,"$12,151",85.7,2020
76,Upper Pittsgrove School,"PK, KG-8",UPPER PITTSGROVE Township School District,305,1.0%,"$14,593",85.4,2020
77,Marlboro Middle School,6-8,Marlboro Township School District,995,3.4%,"$9,749",85.1,2020
78,Brooklawn Middle School,6-8,Parsippany-Troy Hills Township School District,862,11.6%,"$11,010",85,2020
79,Cranbury School,"PK, KG-8",Cranbury Township School District,458,5.0%,"$18,574",85,2020
80,Stonebridge Middle School,5-8,Upper Freehold Regional School District,470,7.9%,"$10,883",84.7,2020
81,Orange Avenue School,3-8,Cranford Public School District,722,0.4%,"$7,540",84.5,2020
